long	lat	ident	comment
-73.1053962493375	41.9289168701748	A	Crystal Lake Reservoir
-73.1015386443439	41.9279536710383	B	Crystal Lake Reservoir
-73.0995058411773	41.9248516021051	C	Crystal Lake Reservoir
-73.0985455032768	41.9213852326893	D	Crystal Lake Reservoir
-73.1009151992827	41.9192932301307	E	Crystal Lake Reservoir
-73.1045756221415	41.9184351781917	F	Crystal Lake Reservoir
-73.107013240774	41.9182595679441	G	Crystal Lake Reservoir
-73.105557198082	41.9208612309413	H	Crystal Lake Reservoir
-73.1052381910028	41.9233367570009	I	Crystal Lake Reservoir
-73.1058548031647	41.9263981161431	J	Crystal Lake Reservoir
